2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:23,769 - INFO - WARNING - Geo queue full, skipping IP: 34.160.152.31
2025-09-03 12:51:23,770 - INFO - WARNING - Geo queue full, skipping IP: 142.250.76.67
2025-09-03 12:51:23,772 - INFO - WARNING - Geo queue full, skipping IP: 34.160.152.31
2025-09-03 12:51:23,775 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.34
2025-09-03 12:51:23,777 - INFO - WARNING - Geo queue full, skipping IP: 104.26.4.241
2025-09-03 12:51:23,778 - INFO - WARNING - Geo queue full, skipping IP: 192.178.134.94
2025-09-03 12:51:23,780 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.110
2025-09-03 12:51:23,783 - INFO - WARNING - Geo queue full, skipping IP: 142.250.77.225
2025-09-03 12:51:23,785 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.77
2025-09-03 12:51:23,788 - INFO - WARNING - Geo queue full, skipping IP: 172.217.24.78
2025-09-03 12:51:23,790 - INFO - WARNING - Geo queue full, skipping IP: 35.213.7.90
2025-09-03 12:51:23,793 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.161
2025-09-03 12:51:23,797 - INFO - WARNING - Geo queue full, skipping IP: 151.101.2.49
2025-09-03 12:51:23,800 - INFO - WARNING - Geo queue full, skipping IP: 34.96.71.22
2025-09-03 12:51:23,801 - INFO - WARNING - Geo queue full, skipping IP: 69.173.158.64
2025-09-03 12:51:23,804 - INFO - WARNING - Geo queue full, skipping IP: 18.67.195.10
2025-09-03 12:51:23,807 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
2025-09-03 12:51:23,808 - INFO - WARNING - Geo queue full, skipping IP: 142.251.43.97
2025-09-03 12:51:23,810 - INFO - WARNING - Geo queue full, skipping IP: 35.212.104.44
2025-09-03 12:51:23,813 - INFO - WARNING - Geo queue full, skipping IP: 34.111.113.62
2025-09-03 12:51:23,815 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:23,818 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.46
